epoch,dice_coef,loss,val_dice_coef,val_loss
0,0.0251226086182,-0.0251226086095,0.0211232028604,-0.0211232032478
1,0.0260345953753,-0.0260345951368,0.0225593094528,-0.022559310168
2,0.0314893055956,-0.031489305834,0.0315532616079,-0.0315532618463
3,0.0654116503398,-0.0654116511345,0.0999228365421,-0.0999228368998
4,0.194832027316,-0.194832026402,0.201604834557,-0.201604839921
5,0.223252234658,-0.223252235293,0.18678499198,-0.186785001516
6,0.23428979063,-0.234289791266,0.217288444281,-0.217288448095
7,0.222536498109,-0.222536496838,0.17549978292,-0.175499784827
8,0.238839199305,-0.238839198033,0.221454468489,-0.221454478025
9,0.251067815483,-0.251067816118,0.220977862597,-0.220977860689
10,0.251846916596,-0.251846917232,0.218589085817,-0.218589087725
11,0.253575671673,-0.253575672944,0.215514211416,-0.215514217138
12,0.258311951677,-0.258311948498,0.229498240948,-0.229498245955
13,0.262769094785,-0.262769087871,0.232365555048,-0.232365555048
14,0.217646707098,-0.217646705866,0.184216287613,-0.184216285706
15,0.227154441118,-0.227154441436,0.201693555117,-0.201693551302
16,0.2608134559,-0.260813451449,0.238038319111,-0.238038306475
17,0.263478718042,-0.263478721142,0.246412763119,-0.246412762403
18,0.26871138835,-0.268711389065,0.24131583333,-0.241315839052
19,0.279214646419,-0.279214651187,0.245915302753,-0.245915292025
20,0.289844345331,-0.289844346523,0.268176431656,-0.268176434755
21,0.276342993975,-0.27634299461,0.264271526098,-0.264271521091
22,0.299611831427,-0.299611832778,0.279747631073,-0.279747625351
23,0.292632819732,-0.292632822911,0.229064788103,-0.229064784288
24,0.304599204699,-0.304599204699,0.298417196989,-0.298417191982
25,0.331427911679,-0.331427911043,0.305426413298,-0.305426419735
26,0.346175687949,-0.346175690492,0.319587162256,-0.31958716917
27,0.354774206956,-0.354774208228,0.325392643452,-0.325392643452
28,0.377084572872,-0.377084575415,0.330992815256,-0.330992818356
29,0.378626161098,-0.378626158913,0.334463846207,-0.334463849306
30,0.388312681437,-0.388312681993,0.332632641792,-0.332632639408
31,0.3997695961,-0.399769591014,0.350973474741,-0.350973481655
32,0.405225911697,-0.405225913525,0.349166343212,-0.349166343212
33,0.423781651894,-0.423781649987,0.354042093992,-0.354042087078
34,0.417333685398,-0.417333695571,0.35679199028,-0.356791987181
35,0.434198867003,-0.434198861917,0.360302271128,-0.360302278042
36,0.445241266012,-0.445241257111,0.376464080811,-0.376464076996
37,0.447586400986,-0.447586399714,0.38312897706,-0.383128987789
38,0.451081951062,-0.451081935803,0.375339046955,-0.375339027882
39,0.432844633261,-0.43284463199,0.368070358276,-0.36807036972
40,0.464654179732,-0.464654177189,0.399098876953,-0.399098876953
41,0.474989547888,-0.474989545345,0.402110610485,-0.40211060667
42,0.481045329889,-0.481045324802,0.414857412815,-0.414857412815
43,0.4715191377,-0.471519140244,0.409140381813,-0.409140383244
44,0.471281481663,-0.47128148222,0.405069058895,-0.405069070339
45,0.475272306919,-0.475272305648,0.431167815685,-0.431167827129
46,0.501232724667,-0.501232724667,0.415120539665,-0.415120542049
