epoch,dice_coef,loss
0,0.023765720129,-0.0237657205164
1,0.0249421212513,-0.0249421213705
2,0.0692064589262,-0.0692064597607
3,0.204245960712,-0.204245959997
4,0.210698693275,-0.210698691845
5,0.231058973551,-0.231058977127
6,0.232683774233,-0.232683772326
7,0.233401697278,-0.233401696801
8,0.24159028554,-0.241590282917
9,0.245499893904,-0.245499892473
10,0.23994990772,-0.239949905813
11,0.237602837086,-0.237602843285
12,0.243918622017,-0.243918623447
13,0.245526215196,-0.24552621758
14,0.247707327366,-0.247707325935
15,0.241144025922,-0.241144026875
16,0.243076941133,-0.243076945424
17,0.248611918449,-0.248611919403
18,0.249729328156,-0.249729323387
19,0.251807781696,-0.251807781458
20,0.252982010603,-0.25298201108
21,0.252863616467,-0.252863613129
22,0.253045767784,-0.253045772552
23,0.254119047403,-0.254119048834
24,0.261766713381,-0.261766712427
25,0.273333640337,-0.27333363986
26,0.283232507467,-0.283232508421
27,0.272225605369,-0.272225607038
28,0.290916421294,-0.290916422248
29,0.308077923298,-0.308077924252
30,0.315544883251,-0.315544883728
31,0.317484643817,-0.317484644294
32,0.328819487572,-0.328819488049
33,0.327176822901,-0.327176825762
34,0.323296079874,-0.323296083689
35,0.334748325348,-0.334748326778
36,0.35955480361,-0.359554799795
37,0.361416915417,-0.361416916847
38,0.362087695122,-0.362087702751
39,0.36635772109,-0.366357722044
40,0.356041955233,-0.356041951895
41,0.372563227618,-0.372563238109
42,0.389418427706,-0.389418425322
43,0.402570264816,-0.402570257187
44,0.402488860607,-0.402488868237
45,0.388848185062,-0.388848189354
46,0.409941505194,-0.409941503763
47,0.409016558647,-0.409016554832
48,0.413840138435,-0.413840138435
49,0.430706583023,-0.430706587791
50,0.435735834599,-0.435735842228
51,0.435842156887,-0.435842154026
52,0.424374270439,-0.424374269009
53,0.454582485199,-0.454582482338
54,0.459311226845,-0.459311224937
55,0.468490548134,-0.468490549088
56,0.482408331394,-0.482408324718
57,0.471228433132,-0.471228431225
58,0.495157315731,-0.495157315731
59,0.485838065624,-0.485838074207
60,0.475975376368,-0.475975381613
61,0.485130854607,-0.485130858421
62,0.492447242737,-0.492447238922
63,0.496359334469,-0.496359344006
64,0.505894912243,-0.505894919872
65,0.513610339642,-0.513610339642
66,0.515119179726,-0.515119180679
67,0.516092651606,-0.516092646837
68,0.495510975361,-0.495510965824
69,0.544046662807,-0.544046664715
70,0.538600175858,-0.538600171089
71,0.507346130133,-0.507346125364
72,0.537861703873,-0.537861700058
73,0.54534470892,-0.545344711781
74,0.558977123737,-0.55897712183
75,0.5588866992,-0.558886693478
76,0.565514690399,-0.565514699936
77,0.571961244106,-0.571961239338
78,0.557673855782,-0.557673861504
79,0.575310461044,-0.575310461044
80,0.576434750319,-0.576434749365
81,0.565885312557,-0.565885304928
82,0.571976463318,-0.571976457596
83,0.562765159607,-0.5627651577
84,0.577095432758,-0.577095424175
85,0.559647301435,-0.559647304296
86,0.590832214832,-0.590832212925
87,0.580639786482,-0.580639790297
88,0.593297123432,-0.593297130108
89,0.596700604916,-0.596700594425
90,0.605055902958,-0.605055903912
91,0.583695772171,-0.583695776939
92,0.575849884987,-0.575849888802
93,0.590961762905,-0.590961756229
94,0.612593040943,-0.612593045712
95,0.601728650808,-0.601728646994
96,0.61470399189,-0.614703999519
97,0.615252127171,-0.615252129078
98,0.618148706436,-0.618148694992
99,0.618923239231,-0.618923238277
